algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
3,sm_86,1024,768,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0902496,0.157503,1.74519,0
3,sm_86,1024,1536,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.161153,0.293444,1.8209,0
3,sm_86,1024,2304,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.231861,0.386735,1.66796,0
3,sm_86,1024,3072,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.303003,0.510385,1.68442,0
3,sm_86,1024,3840,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.373797,0.634448,1.69731,0
3,sm_86,1024,4608,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.444516,0.757146,1.70331,0
3,sm_86,1024,5376,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.515365,0.880846,1.70917,0
3,sm_86,1024,6144,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.586218,1.00438,1.71333,0
3,sm_86,1024,6912,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.656994,1.12766,1.7164,0
3,sm_86,1024,7680,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.727921,1.25185,1.71977,0
3,sm_86,1024,8448,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.798643,1.37468,1.72127,0
3,sm_86,1024,9216,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.869593,1.49826,1.72295,0
3,sm_86,1024,9984,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.940457,1.86238,1.98029,0
3,sm_86,1024,10752,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.01117,2.00439,1.98224,0
3,sm_86,1024,11520,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.08208,2.14633,1.98353,0
3,sm_86,1024,12288,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.15283,2.28813,1.9848,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,2,0.038616,0.157522,4.0792,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,3,0.0409389,0.157508,3.8474,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,4,0.0460845,0.157508,3.41782,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,2,0.135809,0.157506,1.15976,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,3,0.135248,0.157496,1.1645,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,128,64,32,16,8,32,4,0.156789,0.15749,1.00447,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,2,0.0442656,0.157517,3.55845,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,3,0.0451354,0.157509,3.4897,0
7,sm_86,1024,768,4096,32,4,2,10,0.5,128,64,32,64,64,32,16,8,32,4,0.0567261,0.160295,2.82577,0
7,sm_86,1024,1536,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,2,0.0683466,0.293377,4.29249,0
7,sm_86,1024,1536,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,3,0.0721482,0.293391,4.0665,0
7,sm_86,1024,1536,4096,32,4,2,10,0.5,128,64,32,32,64,32,16,8,32,4,0.0796845,0.293396,3.68197,0
