algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_row,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,2,0.296589,0.674253,2.27336,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,3,0.306392,0.676205,2.20699,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,32,64,32,16,8,32,4,0.32536,0.676283,2.07857,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,2,0.365271,0.674176,1.84569,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,3,0.444873,0.675411,1.51821,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,64,64,32,64,64,32,16,8,32,4,0.553883,0.675824,1.22016,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,2,0.245924,0.676018,2.74889,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,3,0.246282,0.675293,2.74196,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,32,64,32,16,8,32,4,0.26813,0.676137,2.52167,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,2,0.940688,0.675579,0.718175,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,3,0.845298,0.675222,0.798798,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,128,64,32,16,8,32,4,1.00709,0.674242,0.669498,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,2,0.289844,0.675342,2.33002,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,3,0.327747,0.676183,2.06313,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,128,64,32,64,64,32,16,8,32,4,0.403266,0.676233,1.67689,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,2,0.498931,0.676028,1.35495,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,3,0.471787,0.675104,1.43095,0
4,sm_86,1024,4096,4096,32,4,2,7,0.5,32,64,32,32,64,32,16,8,32,4,0.523272,0.675565,1.29104,0
4,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,32,64,32,16,8,32,2,0.253736,0.674749,2.65926,0
4,sm_86,1024,4096,4096,32,4,2,8,0.5,64,64,32,32,64,32,16,8,32,3,0.264435,0.674115,2.54926,0
