algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
3,sm_86,768,768,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.0897408,0.121804,1.35728,0
3,sm_86,768,1536,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.160614,0.228925,1.42531,0
3,sm_86,768,2304,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.231567,0.277986,1.20045,0
3,sm_86,768,3072,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.302586,0.36659,1.21152,0
3,sm_86,768,3840,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.37404,0.455174,1.21691,0
3,sm_86,768,4608,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.444658,0.54317,1.22155,0
3,sm_86,768,5376,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.515631,0.629178,1.22021,0
3,sm_86,768,6144,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.586536,0.717479,1.22325,0
3,sm_86,768,6912,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.657464,0.805638,1.22537,0
3,sm_86,768,7680,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.72818,0.895581,1.22989,0
3,sm_86,768,8448,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.799291,0.981604,1.22809,0
3,sm_86,768,9216,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.869264,1.06993,1.23085,0
3,sm_86,768,9984,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.941109,1.23973,1.31731,0
3,sm_86,768,10752,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.01018,1.33394,1.3205,0
3,sm_86,768,11520,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.08139,1.42879,1.32126,0
3,sm_86,768,12288,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.1531,1.52248,1.32034,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.0632448,0.121962,1.92842,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.0634682,0.122015,1.92247,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.0693661,0.121955,1.75813,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.209136,0.12202,0.583448,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.186111,0.122018,0.65562,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,4,0.240353,0.122007,0.507617,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,2,0.0736899,0.121986,1.6554,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,3,0.0733414,0.122022,1.66375,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,4,0.0884342,0.122004,1.3796,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.13369,0.228497,1.70916,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.118753,0.228892,1.92746,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.130495,0.228841,1.75363,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.409694,0.228476,0.557674,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.357007,0.228906,0.64118,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,4,0.463642,0.228862,0.493617,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,2,0.141082,0.228836,1.62201,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,3,0.139482,0.228516,1.63832,0
2,sm_86,768,1536,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,4,0.170606,0.228837,1.34132,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.191683,0.276787,1.44398,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.176509,0.276791,1.56814,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.191953,0.276771,1.44187,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.623628,0.278233,0.446153,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.525537,0.280777,0.534266,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,4,0.688003,0.27799,0.404054,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,2,0.208326,0.278006,1.33447,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,3,0.206254,0.278044,1.34807,0
2,sm_86,768,2304,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,4,0.254704,0.27798,1.09139,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.236127,0.364877,1.54526,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.228942,0.36489,1.59381,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.248364,0.364906,1.46924,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.877205,0.36492,0.416003,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.699423,0.364871,0.521674,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,4,0.914788,0.366515,0.400656,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,2,0.274723,0.364892,1.32822,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,3,0.272628,0.366575,1.3446,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,4,0.335961,0.364895,1.08612,0
2,sm_86,768,3840,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.276694,0.453324,1.63836,0
2,sm_86,768,3840,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.282641,0.453285,1.60375,0
2,sm_86,768,3840,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.30931,0.453273,1.46543,0
2,sm_86,768,3840,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,1.11152,0.453326,0.407842,0
2,sm_86,768,3840,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.869545,0.453303,0.52131,0
