algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
3,sm_86,1024,768,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.090553,0.157941,1.74418,0
3,sm_86,1024,1536,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.16159,0.29422,1.82078,0
3,sm_86,1024,2304,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.232622,0.386712,1.6624,0
3,sm_86,1024,3072,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.303819,0.510414,1.68,0
3,sm_86,1024,3840,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.375046,0.635312,1.69396,0
3,sm_86,1024,4608,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.445823,0.757814,1.69981,0
3,sm_86,1024,5376,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.516771,0.880847,1.70452,0
3,sm_86,1024,6144,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.586279,1.00436,1.71311,0
3,sm_86,1024,6912,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.658656,1.12757,1.71192,0
3,sm_86,1024,7680,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.729606,1.25186,1.7158,0
3,sm_86,1024,8448,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.799883,1.37459,1.71849,0
3,sm_86,1024,9216,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.869518,1.49829,1.72312,0
3,sm_86,1024,9984,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.942273,1.86225,1.97633,0
3,sm_86,1024,10752,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.01172,2.0044,1.98119,0
3,sm_86,1024,11520,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.08407,2.14626,1.97983,0
3,sm_86,1024,12288,4096,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.1529,2.28825,1.98479,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.0797456,0.157919,1.98028,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.0833059,0.15792,1.89566,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.0921664,0.157895,1.71316,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.242695,0.157436,0.648699,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.268497,0.157434,0.586353,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,4,0.315931,0.157453,0.49838,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,2,0.0929187,0.157443,1.69442,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,3,0.0958413,0.157429,1.64261,0
2,sm_86,1024,768,4096,32,4,2,4,0.5,128,64,32,64,64,32,16,8,32,4,0.116438,0.157413,1.35191,0
2,sm_86,1024,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.153384,0.293393,1.91281,0
2,sm_86,1024,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.158678,0.293416,1.84913,0
2,sm_86,1024,1536,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.173611,0.293416,1.69008,0
2,sm_86,1024,1536,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,2,0.500311,0.293438,0.586512,0
2,sm_86,1024,1536,4096,32,4,2,4,0.5,128,64,32,128,64,32,16,8,32,3,0.514952,0.293434,0.569828,0
