algo,n,m,v,mean,median,std,len
0,0,0,64,243.5963693385323,243.81037382408977,0.5424804529352507,30
0,2,8,64,209.82851491620144,209.70457047224045,0.40442418312534034,30
0,0,0,64,243.8666539887587,243.9622301608324,0.29281999148766824,30
0,2,16,64,182.2318209645649,182.17802047729492,0.14514024102974596,30
0,0,0,64,243.89486517757177,243.883206974715,0.8802812598648366,30
0,2,32,64,169.0337145080169,169.10989442840219,0.185952163314438,30
1,0,0,64,161.26537565141916,161.2670081667602,0.07216481535888083,30
1,2,8,64,129.3990682810545,129.39735176041722,0.04060810015556992,30
1,0,0,64,161.31746464719376,161.3257797434926,0.08170297217038677,30
1,2,16,64,109.97966919094324,109.97286438941956,0.05857476769408656,30
1,0,0,64,161.34529411792755,161.34610446169972,0.07308910483239353,30
1,2,32,64,101.02114947512746,101.0215156711638,0.023125790942567705,30
2,0,0,64,274.44704656178754,274.5624897070229,0.925239873223399,30
2,2,8,64,157.22088338807225,157.22066443413496,0.3950851758919432,30
2,0,0,64,274.7366269739966,274.5916396379471,0.8544854128312387,30
2,2,16,64,108.77130208536983,108.88792760670185,0.436400591064124,30
2,0,0,64,274.38426995649934,274.2448328062892,1.063090505473726,30
2,2,32,64,85.20759337892135,85.17750259488821,0.47763124169424087,30
0,0,0,128,242.05300814161697,242.29079578071833,0.5045642728958966,30
0,2,8,128,193.5101343629261,193.71894840151072,0.39054150214397776,30
0,0,0,128,243.00282914191484,243.1645137257874,0.7928059785051328,30
0,2,16,128,173.0924328789115,173.00443351268768,0.6399229034913524,30
0,0,0,128,243.31430417175093,243.5230570845306,0.574921741638299,30
0,2,32,128,164.39633800958595,164.34207744896412,0.1308913966685097,30
1,0,0,128,160.92873150482774,161.243399605155,0.4562054957974817,30
1,2,8,128,117.22524560367067,117.19818785786629,0.26943170052228715,30
1,0,0,128,160.7100727657477,160.54926393553615,0.36187583377351673,30
1,2,16,128,104.1416016407311,104.13437383249402,0.05361964106108533,30
1,0,0,128,160.47607831036052,160.48318007960916,0.08557610188780589,30
1,2,32,128,98.00438564270735,97.97688061371446,0.07194741125090892,30
2,0,0,128,272.7750297325353,272.58593775331974,0.8682950008487512,30
2,2,8,128,150.49554522459707,150.51412349566817,0.359146720824225,30
2,0,0,128,272.1510026914378,272.14811695739627,1.0965918868795852,30
2,2,16,128,104.70210475226243,104.58980081602931,0.2753965538143595,30
2,0,0,128,273.98052473242086,274.0493109449744,1.0859766192535314,30
2,2,32,128,83.63511820013325,83.58696103096008,0.3520119835318917,30
