algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
3,sm_86,768,768,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.0894237,0.12152,1.35893,0
3,sm_86,3072,768,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.222361,0.369931,1.66365,0
3,sm_86,768,3072,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.301761,0.364835,1.20902,0
3,sm_86,1024,1024,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.113749,0.204612,1.7988,0
3,sm_86,4096,1024,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.389621,0.629915,1.61673,0
3,sm_86,1024,4096,4096,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.39729,0.674203,1.697,0
3,sm_86,768,768,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.133695,0.1992,1.48995,0
3,sm_86,3072,768,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.441471,0.696661,1.57804,0
3,sm_86,768,3072,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.452281,0.727317,1.60811,0
3,sm_86,1024,1024,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.223052,0.382568,1.71515,0
3,sm_86,4096,1024,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.722059,1.20521,1.66913,0
3,sm_86,1024,4096,8192,0,1,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0.790189,1.43998,1.82233,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.065703,0.121752,1.85307,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.0650211,0.121792,1.87312,0
2,sm_86,768,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.07116,0.121754,1.71099,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.0770563,0.1218,1.58066,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.0832419,0.121762,1.46274,0
2,sm_86,768,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.0846138,0.121765,1.43907,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.202643,0.370661,1.82913,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.215408,0.369988,1.71761,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.245407,0.370031,1.50782,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.271815,0.370019,1.36129,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.277597,0.370016,1.33293,0
2,sm_86,3072,768,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.295248,0.370022,1.25326,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.244976,0.364924,1.48963,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.233057,0.364998,1.56613,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.251123,0.364903,1.45308,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.280484,0.364863,1.30083,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.303373,0.364887,1.20277,0
2,sm_86,768,3072,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.318346,0.36485,1.14608,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.104542,0.204583,1.95694,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.109973,0.204537,1.85988,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.121444,0.204547,1.68429,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.130236,0.204572,1.57078,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.134534,0.204536,1.52033,0
2,sm_86,1024,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.137029,0.204543,1.49269,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.344164,0.629993,1.8305,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.365408,0.630015,1.72414,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.417241,0.629998,1.50991,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.478045,0.630009,1.31789,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.482654,0.629983,1.30525,0
2,sm_86,4096,1024,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.508471,0.629974,1.23896,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.4134,0.674203,1.63087,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.421353,0.674191,1.60006,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.456144,0.677039,1.48427,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,2,0.533518,0.674223,1.26373,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,3,0.527365,0.674178,1.27839,0
2,sm_86,1024,4096,4096,32,4,2,4,0.5,64,64,32,32,64,32,16,8,32,4,0.528535,0.67416,1.27553,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,2,0.115495,0.199145,1.72428,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,3,0.11925,0.199233,1.67072,0
2,sm_86,768,768,8192,32,4,2,4,0.5,128,64,32,32,64,32,16,8,32,4,0.132843,0.199136,1.49904,0
